"Smiley, happy face[3][4][5][6]",:‑):),:-]:],:->:>,8-)8),:-}:},:o),:c),:^),=],=),☺️🙂😊😀😁
Cup of tea[62],( ^^)_U~~( ^^)_旦~~,🍵☕️
Shooting star[62],☆彡☆ミ,🌠☄️💫🌟
Fish[62],>°)))彡(Q))><ヨヨ (°))<<>°))))彡<°)))彡>°))彡 <+))><<<*))>=<,🐠🐟🐡🦈🐬🐳🐋
"Squid, octopus[62]",<コ:彡 Ｃ:.ミ,🦑🐙
Snake[62],~>°)～～～,🐍
Bat[62],～°·_·°～,🦇
Tadpole[62],(°°)～,
Bomb[62],●～*,💣🧨
"Despair. The ""O""s represent head on the ground, ""T"" or ""r"" forms the torso, and ""S"" or ""z"" the legs.[63][75]",￣|○STOOTZOTLorz囧rz,
Table flip[76],(╯°□°）╯︵ ┻━┻┬──┬ ¯\_(ツ) ┻━┻︵ヽ(`Д´)ﾉ︵ ┻━┻┬─┬ノ( º _ ºノ) (ノಠ益ಠ)ノ彡┻━┻,
—[62],:3ミ,
